"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\assets\privacy_policy.md", "Markdown", 0, 36, 0, 31, 67
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\assets\terms_conditions.md", "Markdown", 0, 20, 0, 18, 38
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\commons\dialog.dart", "Dart", 26, 0, 0, 2, 28
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\main.dart", "Dart", 63, 0, 1, 4, 68
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\models\User.dart", "Dart", 51, 0, 0, 3, 54
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\models\body_measurements.dart", "Dart", 66, 0, 0, 5, 71
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\Auth\login.dart", "Dart", 157, 0, 0, 6, 163
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\Auth\register.dart", "Dart", 212, 0, 0, 14, 226
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\Auth\reset_password.dart", "Dart", 111, 0, 0, 4, 115
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\BlueSerial\BlueDeviceList.dart", "Dart", 69, 0, 0, 3, 72
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\BlueSerial\DiscoveryDevicePage.dart", "Dart", 142, 0, 2, 17, 161
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\BlueSerial\SelectDevicePage.dart", "Dart", 119, 0, 0, 22, 141
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\BlueSerial\SettingsPage.dart", "Dart", 153, 0, 0, 19, 172
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\BodyMeasurements\body_history_graph.dart", "Dart", 114, 0, 0, 8, 122
